subscription_id,user_id,plan_type,subscription_start_date,subscription_end_date,monthly_revenue,subscription_status,billing_cycle
S00120,U03104,Pro,2025-04-12,2026-01-08 00:00:00,499,Cancelled,Monthly
S00121,U04193,Pro,2024-06-07,,499,Active,Annual
S00122,U04191,Pro,2025-09-25,,499,Active,Monthly
S00123,U03706,Pro,2024-01-29,,499,Active,Monthly
S00124,U04645,Team,2025-01-21,,1999,Active,Annual
S00125,U02298,Pro,2025-11-10,2026-06-19 00:00:00,499,Cancelled,Monthly
S00126,U00052,Team,2025-01-11,,1999,Active,Monthly
S00127,U02182,Pro,2025-11-17,,499,Active,Monthly
S00128,U02689,Pro,2025-09-27,,499,Active,Monthly
S00129,U00535,Pro,2024-02-11,,499,Active,Monthly
S00130,U03858,Pro,2025-02-24,,499,Active,Monthly
S00131,U04201,Pro,2025-09-27,2026-06-16 00:00:00,499,Cancelled,Annual
S00132,U00645,Pro,2025-07-10,,499,Active,Monthly
S00133,U03746,Pro,2025-07-19,,499,Active,Monthly
S00134,U04094,Pro,2024-12-16,,499,Active,Monthly
S00135,U02464,Pro,2025-06-01,,499,Active,Monthly
S00136,U00185,Pro,2025-11-09,,499,Active,Annual
S00137,U02277,Enterprise,2025-06-10,,9999,Active,Monthly
S00138,U02670,Pro,2025-12-09,,499,Active,Annual
S00139,U04862,Team,2025-03-13,,1999,Active,Annual
S00140,U03527,Team,2024-05-12,,1999,Active,Monthly
S00141,U04260,Pro,2024-02-28,,499,Active,Monthly
S00142,U04770,Pro,2025-05-27,,499,Active,Monthly
S00143,U00603,Team,2024-02-08,,1999,Active,Monthly
S00144,U00550,Enterprise,2024-08-11,,9999,Active,Monthly
S00145,U03642,Team,2025-07-10,,1999,Active,Monthly
S00146,U04893,Team,2025-07-11,,1999,Active,Monthly
S00147,U02935,Pro,2024-09-06,,499,Active,Monthly
S00148,U00606,Pro,2025-11-14,,499,Active,Monthly
S00149,U04999,Team,2024-06-11,,1999,Active,Monthly
S00150,U00299,Pro,2024-04-27,,499,Active,Monthly
S00151,U03255,Pro,2025-02-12,,499,Active,Monthly
S00152,U01559,Team,2025-06-04,,1999,Active,Monthly
S00153,U03270,Pro,2024-08-21,2025-04-20 00:00:00,499,Cancelled,Annual
S00154,U01833,Pro,2024-03-06,,499,Active,Annual
S00155,U01722,Pro,2024-05-28,,499,Active,Monthly
S00156,U00046,Pro,2024-02-16,,499,Active,Monthly
S00157,U04871,Enterprise,2024-03-11,2024-04-21 00:00:00,9999,Cancelled,Annual
S00158,U03054,Pro,2024-09-12,,499,Active,Monthly
S00159,U02686,Pro,2025-08-17,2026-02-26 00:00:00,499,Cancelled,Monthly
S00160,U01210,Pro,2024-11-30,,499,Active,Monthly
S00161,U03974,Enterprise,2025-05-24,,9999,Active,Monthly
S00162,U00352,Pro,2025-02-28,,499,Active,Annual
S00163,U04899,Team,2025-07-18,,1999,Active,Annual
S00164,U00367,Team,2025-10-13,,1999,Active,Monthly
S00165,U02522,Team,2025-02-06,,1999,Active,Annual
S00166,U02526,Team,2024-03-24,2024-08-19 00:00:00,1999,Cancelled,Monthly
S00167,U01019,Team,2025-11-24,,1999,Active,Annual
S00168,U02499,Pro,2025-01-06,,499,Active,Monthly
S00169,U03351,Team,2024-12-16,,1999,Active,Monthly
S00170,U03376,Pro,2025-04-26,2026-04-01 00:00:00,499,Cancelled,Annual
S00171,U03486,Team,2025-12-18,,1999,Active,Annual
S00172,U03380,Pro,2025-01-20,,499,Active,Annual
S00173,U02684,Team,2025-02-24,,1999,Active,Monthly
S00174,U03332,Pro,2025-11-24,,499,Active,Monthly
S00175,U02415,Pro,2025-01-10,,499,Active,Monthly
S00176,U01331,Pro,2025-03-21,2025-09-20 00:00:00,499,Cancelled,Monthly
S00177,U01540,Pro,2024-06-24,,499,Active,Monthly
S00178,U02331,Team,2025-07-03,,1999,Active,Monthly
S00179,U04735,Team,2024-03-27,,1999,Active,Monthly
S00180,U00451,Pro,2025-09-06,,499,Active,Monthly
S00181,U04723,Team,2025-07-25,,1999,Active,Monthly
S00182,U01558,Enterprise,2025-07-17,,9999,Active,Monthly
S00183,U03625,Pro,2024-11-15,2025-10-18 00:00:00,499,Cancelled,Monthly
S00184,U04665,Pro,2024-06-22,,499,Active,Monthly
S00185,U02687,Pro,2025-06-30,,499,Active,Monthly
S00186,U01306,Pro,2024-11-13,,499,Active,Monthly
S00187,U02926,Pro,2025-03-02,2025-12-18 00:00:00,499,Cancelled,Monthly
S00188,U03228,Pro,2025-06-29,,499,Active,Monthly
S00189,U03023,Pro,2025-12-04,2026-07-04 00:00:00,499,Cancelled,Monthly
S00190,U04228,Pro,2024-11-30,,499,Active,Monthly
S00191,U00801,Team,2024-12-30,,1999,Active,Annual
S00192,U02777,Pro,2025-11-05,,499,Active,Monthly
S00193,U02275,Pro,2024-01-28,,499,Active,Monthly
S00194,U04922,Pro,2024-08-17,2025-08-07 00:00:00,499,Cancelled,Monthly
S00195,U00192,Pro,2025-01-23,,499,Active,Monthly
S00196,U00167,Pro,2025-04-06,,499,Active,Monthly
S00197,U01789,Team,2024-04-08,,1999,Active,Monthly
S00198,U00153,Team,2025-01-25,,1999,Active,Monthly
S00199,U02535,Pro,2025-08-14,,499,Active,Monthly
S00200,U03018,Pro,2025-01-11,,499,Active,Monthly
S00201,U03114,Pro,2024-09-02,,499,Active,Monthly
S00202,U00680,Pro,2025-04-26,,499,Active,Monthly
S00203,U00681,Pro,2025-05-03,,499,Active,Annual
S00204,U02496,Pro,2025-06-07,,499,Active,Monthly
S00205,U01028,Pro,2024-05-12,,499,Active,Monthly
S00206,U01863,Pro,2024-11-23,,499,Active,Monthly
S00207,U04076,Pro,2024-05-21,,499,Active,Monthly
S00208,U01445,Pro,2025-01-11,,499,Active,Monthly
S00209,U03960,Team,2024-09-03,,1999,Active,Monthly
S00210,U04764,Pro,2024-01-24,,499,Active,Monthly
S00211,U03762,Team,2024-07-20,,1999,Active,Monthly
S00212,U05000,Pro,2025-12-10,,499,Active,Monthly
S00213,U03195,Pro,2025-09-08,,499,Active,Annual
S00214,U01271,Team,2025-05-17,,1999,Active,Monthly
S00215,U02427,Pro,2025-03-01,,499,Active,Monthly
S00216,U01627,Pro,2025-06-23,,499,Active,Monthly
S00217,U00790,Team,2025-06-10,2026-03-09 00:00:00,1999,Cancelled,Monthly
S00218,U01865,Team,2025-05-18,,1999,Active,Annual
S00219,U00872,Pro,2025-10-11,,499,Active,Monthly
S00220,U00074,Enterprise,2024-09-27,,9999,Active,Monthly
S00221,U01753,Team,2024-03-06,,1999,Active,Monthly
S00222,U04370,Pro,2025-01-23,,499,Active,Monthly
S00223,U04576,Enterprise,2024-04-27,,9999,Active,Monthly
S00224,U03131,Team,2025-06-14,,1999,Active,Monthly
S00225,U04813,Team,2025-11-27,2026-05-14 00:00:00,1999,Cancelled,Annual
S00226,U03404,Pro,2024-10-09,,499,Active,Monthly
S00227,U00619,Pro,2024-11-20,,499,Active,Monthly
S00228,U03594,Pro,2025-08-18,,499,Active,Monthly
S00229,U03411,Pro,2025-02-02,2025-11-23 00:00:00,499,Cancelled,Monthly
S00230,U04941,Pro,2025-11-26,,499,Active,Monthly
S00231,U01631,Enterprise,2025-01-08,,9999,Active,Annual
S00232,U01850,Pro,2024-04-11,,499,Active,Annual
S00233,U03154,Pro,2024-10-17,2025-09-07 00:00:00,499,Cancelled,Monthly
S00234,U04657,Pro,2025-11-16,,499,Active,Annual
S00235,U04142,Team,2025-07-10,,1999,Active,Annual
S00236,U03169,Pro,2025-05-08,,499,Active,Monthly
S00237,U02448,Enterprise,2024-12-22,,9999,Active,Monthly
S00238,U00507,Team,2025-02-08,,1999,Active,Monthly
S00239,U03163,Team,2024-06-17,,1999,Active,Monthly
S00240,U00616,Pro,2025-10-29,,499,Active,Monthly
S00241,U01936,Pro,2024-04-01,,499,Active,Monthly
S00242,U04278,Pro,2024-08-21,,499,Active,Monthly
S00243,U01069,Pro,2024-03-12,,499,Active,Monthly
S00244,U02192,Pro,2024-02-03,,499,Active,Monthly
S00245,U00756,Team,2025-09-01,,1999,Active,Annual
S00246,U03804,Team,2024-10-09,,1999,Active,Monthly
S00247,U01158,Pro,2024-12-29,,499,Active,Monthly
S00248,U02267,Pro,2025-05-22,,499,Active,Monthly
S00249,U01809,Pro,2024-11-03,,499,Active,Monthly
S00250,U03653,Team,2025-06-26,,1999,Active,Monthly
S00251,U00565,Pro,2024-12-30,,499,Active,Monthly
S00252,U01472,Pro,2025-11-08,,499,Active,Monthly
S00253,U01052,Team,2026-01-09,,1999,Active,Annual
S00254,U00649,Enterprise,2024-06-23,,9999,Active,Monthly
S00255,U03883,Pro,2024-04-17,,499,Active,Monthly
S00256,U01124,Enterprise,2024-05-04,,9999,Active,Monthly
S00257,U01972,Pro,2024-12-19,,499,Active,Monthly
S00258,U02405,Pro,2025-11-29,,499,Active,Monthly
S00259,U00691,Pro,2025-10-17,,499,Active,Monthly
S00260,U02234,Pro,2024-12-22,2025-03-12 00:00:00,499,Cancelled,Monthly
S00261,U02239,Enterprise,2024-10-17,,9999,Active,Monthly
S00262,U01790,Pro,2025-07-24,,499,Active,Annual
S00263,U01733,Pro,2025-03-22,,499,Active,Annual
S00264,U00209,Pro,2025-04-30,,499,Active,Monthly
S00265,U01120,Pro,2024-11-27,,499,Active,Annual
S00266,U00991,Pro,2025-11-19,,499,Active,Monthly
S00267,U00354,Pro,2024-09-07,,499,Active,Monthly
S00268,U01229,Pro,2024-05-23,,499,Active,Monthly
S00269,U04740,Pro,2024-12-31,,499,Active,Monthly
S00270,U00053,Pro,2025-06-28,,499,Active,Monthly
S00271,U04412,Enterprise,2025-03-24,,9999,Active,Monthly
S00272,U02788,Team,2024-10-29,2025-01-15 00:00:00,1999,Cancelled,Monthly
S00273,U02345,Enterprise,2024-03-10,,9999,Active,Monthly
S00274,U01034,Pro,2024-11-16,,499,Active,Monthly
S00275,U01895,Pro,2024-03-08,2024-11-07 00:00:00,499,Cancelled,Monthly
S00276,U00726,Team,2025-10-29,,1999,Active,Monthly
S00277,U04719,Team,2024-04-26,,1999,Active,Annual
S00278,U02288,Pro,2025-02-25,,499,Active,Monthly
S00279,U00508,Pro,2024-02-17,,499,Active,Monthly
S00280,U03222,Pro,2025-07-29,,499,Active,Monthly
S00281,U01838,Pro,2024-11-15,2025-04-24 00:00:00,499,Cancelled,Monthly
S00282,U01841,Pro,2025-05-11,,499,Active,Monthly
S00283,U02116,Pro,2025-12-02,2026-06-27 00:00:00,499,Cancelled,Annual
S00284,U04438,Pro,2025-05-08,,499,Active,Monthly
S00285,U02155,Pro,2025-05-14,,499,Active,Monthly
S00286,U01659,Pro,2024-08-30,,499,Active,Annual
S00287,U04145,Pro,2024-11-11,,499,Active,Annual
S00288,U00648,Enterprise,2024-05-23,,9999,Active,Annual
S00289,U00264,Enterprise,2024-01-27,,9999,Active,Monthly
S00290,U03072,Pro,2025-08-11,,499,Active,Monthly
S00291,U00320,Team,2025-09-28,,1999,Active,Annual
S00292,U02521,Pro,2024-04-17,,499,Active,Monthly
S00293,U02128,Team,2025-10-09,,1999,Active,Monthly
S00294,U03500,Pro,2024-07-28,,499,Active,Monthly
S00295,U04802,Pro,2024-06-29,,499,Active,Monthly
S00296,U04251,Team,2025-05-31,,1999,Active,Annual
S00297,U04114,Pro,2024-07-05,,499,Active,Monthly
S00298,U04383,Pro,2025-06-30,,499,Active,Annual
S00299,U03480,Pro,2025-08-07,2025-12-29 00:00:00,499,Cancelled,Monthly
S00300,U02283,Team,2024-09-11,,1999,Active,Monthly
S00301,U04366,Pro,2024-02-01,,499,Active,Monthly
S00302,U01208,Pro,2024-05-09,,499,Active,Monthly
S00303,U02136,Team,2025-01-15,,1999,Active,Monthly
S00304,U02789,Team,2025-10-16,,1999,Active,Monthly
S00305,U04959,Pro,2024-09-20,,499,Active,Monthly
S00306,U01238,Pro,2024-05-28,2024-07-23 00:00:00,499,Cancelled,Annual
S00307,U02644,Team,2024-09-10,,1999,Active,Monthly
S00308,U02874,Team,2025-10-18,,1999,Active,Annual
S00309,U01523,Pro,2025-09-17,,499,Active,Monthly
S00310,U01004,Pro,2024-08-09,2025-03-19 00:00:00,499,Cancelled,Monthly
S00311,U02087,Team,2025-02-13,,1999,Active,Monthly
S00312,U04000,Pro,2024-06-06,,499,Active,Monthly
S00313,U01189,Pro,2025-07-24,,499,Active,Monthly
S00314,U03438,Team,2025-06-29,,1999,Active,Monthly
S00315,U04699,Pro,2025-06-10,2025-12-04 00:00:00,499,Cancelled,Monthly
S00316,U02828,Team,2024-06-27,,1999,Active,Annual
S00317,U04906,Pro,2024-11-07,,499,Active,Monthly
S00318,U00786,Pro,2025-01-22,,499,Active,Monthly
S00319,U03606,Team,2025-01-10,,1999,Active,Monthly
S00320,U01179,Pro,2024-11-16,2025-04-02 00:00:00,499,Cancelled,Monthly
S00321,U03470,Pro,2024-04-28,,499,Active,Monthly
S00322,U04417,Pro,2025-01-26,,499,Active,Monthly
S00323,U04771,Enterprise,2025-02-02,,9999,Active,Monthly
S00324,U01007,Pro,2025-05-20,,499,Active,Monthly
S00325,U04180,Team,2025-08-24,,1999,Active,Monthly
S00326,U03517,Team,2025-01-16,,1999,Active,Monthly
S00327,U03809,Pro,2025-07-17,,499,Active,Annual
S00328,U00421,Pro,2024-02-08,,499,Active,Annual
S00329,U04038,Pro,2025-01-23,,499,Active,Annual
S00330,U04245,Pro,2024-08-17,,499,Active,Monthly
S00331,U04830,Enterprise,2024-08-31,,9999,Active,Annual
S00332,U00277,Pro,2025-02-28,,499,Active,Annual
S00333,U02223,Pro,2024-04-20,,499,Active,Monthly
S00334,U04323,Pro,2025-02-26,,499,Active,Monthly
S00335,U00223,Pro,2025-12-07,,499,Active,Monthly
S00336,U02458,Team,2024-06-22,2024-08-05 00:00:00,1999,Cancelled,Annual
S00337,U00387,Pro,2025-06-10,,499,Active,Monthly
S00338,U02232,Pro,2024-08-04,,499,Active,Annual
S00339,U03516,Pro,2025-08-10,,499,Active,Annual
S00340,U02016,Pro,2025-05-10,2026-03-09 00:00:00,499,Cancelled,Annual
S00341,U01401,Team,2025-06-17,,1999,Active,Monthly
S00342,U00713,Team,2025-11-01,,1999,Active,Monthly
S00343,U02421,Team,2025-02-23,,1999,Active,Annual
S00344,U04092,Team,2024-01-10,,1999,Active,Monthly
S00345,U02570,Team,2025-12-09,,1999,Active,Monthly
S00346,U01794,Pro,2024-04-22,,499,Active,Monthly
S00347,U04787,Pro,2024-11-04,2025-06-14 00:00:00,499,Cancelled,Annual
S00348,U03964,Pro,2024-09-19,2025-03-07 00:00:00,499,Cancelled,Annual
S00349,U03703,Team,2024-03-01,,1999,Active,Monthly
S00350,U04111,Enterprise,2024-06-01,,9999,Active,Monthly
S00351,U03766,Enterprise,2024-01-25,,9999,Active,Monthly
S00352,U02852,Pro,2025-12-03,,499,Active,Annual
S00353,U01477,Pro,2025-10-30,,499,Active,Monthly
S00354,U01644,Pro,2024-06-14,,499,Active,Monthly
S00355,U04575,Enterprise,2024-11-06,,9999,Active,Annual
S00356,U01573,Team,2024-04-29,,1999,Active,Monthly
S00357,U00865,Pro,2024-09-18,,499,Active,Monthly
S00358,U03761,Pro,2024-04-13,,499,Active,Annual
S00359,U00049,Team,2025-07-14,,1999,Active,Monthly
S00360,U04196,Team,2024-08-08,2024-11-13 00:00:00,1999,Cancelled,Monthly
S00361,U03495,Pro,2025-12-03,,499,Active,Monthly
S00362,U02433,Pro,2024-05-25,,499,Active,Annual
S00363,U00730,Team,2025-06-24,,1999,Active,Monthly
S00364,U04472,Pro,2024-09-27,2025-02-27 00:00:00,499,Cancelled,Monthly
S00365,U00347,Pro,2025-04-14,,499,Active,Monthly
S00366,U01186,Pro,2025-11-23,,499,Active,Monthly
S00367,U00579,Pro,2024-02-06,,499,Active,Monthly
S00368,U01965,Pro,2025-03-03,,499,Active,Annual
S00369,U01847,Pro,2024-06-17,,499,Active,Monthly
S00370,U00179,Pro,2025-02-12,,499,Active,Monthly
S00371,U01843,Team,2024-06-21,,1999,Active,Annual
S00372,U00605,Team,2025-12-30,,1999,Active,Monthly
S00373,U02628,Team,2024-10-11,,1999,Active,Monthly
S00374,U00026,Pro,2025-07-19,,499,Active,Annual
S00375,U03318,Pro,2024-12-24,,499,Active,Monthly
S00376,U03101,Pro,2025-11-19,,499,Active,Monthly
S00377,U04577,Team,2025-09-16,,1999,Active,Monthly
S00378,U01929,Pro,2024-06-02,,499,Active,Monthly
S00379,U04501,Enterprise,2025-09-02,,9999,Active,Monthly
S00380,U04600,Team,2025-01-06,,1999,Active,Monthly
S00381,U03828,Pro,2024-09-14,,499,Active,Monthly
S00382,U04317,Enterprise,2025-11-10,,9999,Active,Monthly
S00383,U03407,Enterprise,2024-05-26,,9999,Active,Annual
S00384,U03791,Team,2024-03-11,2024-11-14 00:00:00,1999,Cancelled,Monthly
S00385,U00083,Team,2024-08-20,,1999,Active,Monthly
S00386,U03740,Pro,2024-10-28,2025-06-24 00:00:00,499,Cancelled,Annual
S00387,U01905,Enterprise,2024-02-03,,9999,Active,Monthly
S00388,U02020,Pro,2025-10-31,,499,Active,Monthly
S00389,U02918,Pro,2024-04-21,,499,Active,Monthly
S00390,U04419,Team,2025-01-03,,1999,Active,Monthly
S00391,U04833,Pro,2025-06-10,,499,Active,Monthly
S00392,U02656,Pro,2025-03-21,2026-01-29 00:00:00,499,Cancelled,Monthly
S00393,U04241,Pro,2025-11-08,2026-03-01 00:00:00,499,Cancelled,Monthly
S00394,U04029,Pro,2024-01-23,,499,Active,Monthly
S00395,U00943,Pro,2025-03-09,,499,Active,Monthly
S00396,U04709,Team,2024-08-31,,1999,Active,Monthly
S00397,U04602,Enterprise,2025-07-31,,9999,Active,Annual
S00398,U00982,Pro,2025-06-01,,499,Active,Monthly
S00399,U03846,Team,2024-09-01,,1999,Active,Annual
S00400,U00265,Pro,2025-05-28,,499,Active,Monthly
S00401,U04096,Team,2025-04-06,,1999,Active,Monthly
S00402,U03590,Team,2024-10-28,,1999,Active,Monthly
S00403,U01759,Pro,2024-04-10,2025-03-21 00:00:00,499,Cancelled,Annual
S00404,U02811,Pro,2025-12-03,,499,Active,Monthly
S00405,U00670,Pro,2025-03-27,,499,Active,Monthly
S00406,U01153,Pro,2025-10-22,,499,Active,Monthly
S00407,U04818,Team,2025-05-02,,1999,Active,Monthly
S00408,U02407,Pro,2025-12-31,,499,Active,Monthly
S00409,U01650,Pro,2025-03-27,,499,Active,Monthly
S00410,U00848,Enterprise,2025-08-17,,9999,Active,Monthly
S00411,U01234,Team,2024-04-08,,1999,Active,Annual
S00412,U01128,Team,2024-02-13,,1999,Active,Monthly
S00413,U01321,Pro,2025-04-01,,499,Active,Monthly
S00414,U00008,Pro,2025-01-31,,499,Active,Monthly
S00415,U03280,Team,2024-06-17,,1999,Active,Monthly
S00416,U02819,Pro,2025-11-12,,499,Active,Monthly
S00417,U03276,Team,2025-10-01,,1999,Active,Monthly
S00418,U03106,Enterprise,2025-12-29,,9999,Active,Monthly
S00419,U00447,Team,2025-09-26,2026-08-26 00:00:00,1999,Cancelled,Annual
S00420,U04460,Pro,2024-11-04,,499,Active,Monthly
S00421,U04422,Team,2025-12-01,,1999,Active,Monthly
S00422,U00611,Enterprise,2025-12-08,,9999,Active,Monthly
S00423,U00571,Team,2024-06-19,,1999,Active,Monthly
S00424,U00344,Team,2025-05-18,,1999,Active,Monthly
S00425,U01904,Team,2024-08-14,,1999,Active,Monthly
S00426,U04777,Pro,2025-09-27,,499,Active,Monthly
S00427,U00177,Pro,2024-12-01,,499,Active,Monthly
S00428,U00384,Team,2025-07-19,,1999,Active,Monthly
S00429,U00853,Team,2024-04-07,,1999,Active,Monthly
S00430,U04595,Pro,2024-10-13,2025-06-10 00:00:00,499,Cancelled,Monthly
S00431,U03711,Enterprise,2024-02-25,,9999,Active,Monthly
